5TH MOVE: 2334, a8d8
5TH MOVE: 2334, a8c8
5TH MOVE: 2334, a8b8
5TH MOVE: 2334, h7h8
5TH MOVE: 2334, h7g7
5TH MOVE: 2179, d5d8
5TH MOVE: 2179, d5d7
5TH MOVE: 2182, d5e6
5TH MOVE: 2182, d5d6
5TH MOVE: 2182, d5c6
5TH MOVE: 2181, d5h5
5TH MOVE: 2184, d5g5
5TH MOVE: 2184, d5f5
5TH MOVE: 2334, d5e5
5TH MOVE: 2184, d5c5
5TH MOVE: 2184, d5b5
5TH MOVE: 2181, d5a5
5TH MOVE: 2354, d5e4
5TH MOVE: 2204, d5c4
5TH MOVE: 2214, d5f3
5TH MOVE: 2204, d5b3
5TH MOVE: 2219, d5g2
5TH MOVE: 2219, d5a2
5TH MOVE: 2179, d5h1
5TH MOVE: 2362, c7c6
5TH MOVE: 2361, b7b6
5TH MOVE: 2360, a7a6
5TH MOVE: 2360, h6h5
5TH MOVE: 2219, d4d3
5TH MOVE: 2389, c7c5
5TH MOVE: 2389, b7b5
5TH MOVE: 2386, a7a5
4TH MOVE: 2389, a2a4
3RD MOVE: 2389, e4d5
5TH MOVE: 8471, f8f7
4TH MOVE: 8471, f6f7
5TH MOVE: 8446, h7h6
4TH MOVE: 8446, f6h6
5TH MOVE: -8509, f8g8
5TH MOVE: -8509, f8e8
5TH MOVE: -8509, f8g7
5TH MOVE: -8509, a8e8
5TH MOVE: -8509, a8d8
5TH MOVE: -8509, a8c8
5TH MOVE: -8509, a8b8
5TH MOVE: -8509, h7h8
5TH MOVE: -8509, h7g7
5TH MOVE: -8481, f7f6
5TH MOVE: -8481, c7c6
5TH MOVE: -8482, b7b6
5TH MOVE: -8483, a7a6
5TH MOVE: -8483, h6h5
5TH MOVE: -8624, d4d3
5TH MOVE: -8454, f7f5
5TH MOVE: -8454, c7c5
5TH MOVE: -8454, b7b5
5TH MOVE: -8457, a7a5
4TH MOVE: -8454, f6f4
3RD MOVE: -8454, e4f4
5TH MOVE: 7516, g8f7
4TH MOVE: 7516, f6f7
5TH MOVE: 7491, h7h6
4TH MOVE: 7491, f6h6
5TH MOVE: 966, e4d5
5TH MOVE: -934, e4f4
5TH MOVE: 7266, e4d4
4TH MOVE: 7266, f6d4
5TH MOVE: -429, e4f4
5TH MOVE: -1384, g8f8
5TH MOVE: -1384, a8f8
5TH MOVE: -1384, a8e8
5TH MOVE: -1384, a8d8
5TH MOVE: -1384, a8c8
5TH MOVE: -1384, a8b8
5TH MOVE: -1384, h7h8
5TH MOVE: -1384, h7g7
5TH MOVE: -1559, e4e8
5TH MOVE: -1559, e4e7
5TH MOVE: -1557, e4g6
5TH MOVE: -1556, e4e6
5TH MOVE: -1556, e4c6
5TH MOVE: -1554, e4f5
5TH MOVE: -1404, e4e5
5TH MOVE: -1404, e4d5
5TH MOVE: -1524, e4f3
5TH MOVE: -1524, e4e3
5TH MOVE: -1524, e4d3
5TH MOVE: -1519, e4g2
5TH MOVE: -1519, e4e2
5TH MOVE: -1519, e4c2
5TH MOVE: -1559, e4h1
5TH MOVE: -1559, e4e1
5TH MOVE: -1559, e4b1
5TH MOVE: -1357, b7b6
5TH MOVE: -1358, a7a6
5TH MOVE: -1358, h6h5
5TH MOVE: -1499, d4d3
5TH MOVE: -1329, b7b5
5TH MOVE: -1332, a7a5
4TH MOVE: -429, d5c7
3RD MOVE: -429, f8g8
5TH MOVE: 7516, e8f7
4TH MOVE: 7516, f6f7
5TH MOVE: 7491, h7h6
4TH MOVE: 7491, f6h6
5TH MOVE: 966, e4d5
5TH MOVE: -934, e4f4
5TH MOVE: 7266, e4d4
4TH MOVE: 7266, f6d4
5TH MOVE: -1384, e8f8
5TH MOVE: -1384, e8d7
4TH MOVE: -1384, d5c7
3RD MOVE: -1384, f8e8
5TH MOVE: 7516, f8f7
4TH MOVE: 7516, f6f7
5TH MOVE: 7491, h7h6
4TH MOVE: 7491, f6h6
5TH MOVE: 966, e4d5
5TH MOVE: -934, e4f4
5TH MOVE: 7266, e4d4
4TH MOVE: 7266, f6d4
5TH MOVE: -429, e4f4
5TH MOVE: -1384, f8g8
5TH MOVE: -1384, e8d8
5TH MOVE: -1384, e8c8
5TH MOVE: -1384, e8b8
5TH MOVE: -1384, e8a8
5TH MOVE: -1384, e8e7
5TH MOVE: -1381, e8e6
5TH MOVE: -1229, e8e5
5TH MOVE: -1384, h7h8
5TH MOVE: -1384, h7g7
5TH MOVE: -1559, e4e7
5TH MOVE: -1557, e4g6
5TH MOVE: -1556, e4e6
5TH MOVE: -1556, e4c6
5TH MOVE: -1554, e4f5
5TH MOVE: -1404, e4e5
5TH MOVE: -1404, e4d5
5TH MOVE: -1524, e4f3
5TH MOVE: -1524, e4e3
5TH MOVE: -1524, e4d3
5TH MOVE: -1519, e4g2
5TH MOVE: -1519, e4e2
5TH MOVE: -1519, e4c2
5TH MOVE: -1559, e4h1
5TH MOVE: -1559, e4e1
5TH MOVE: -1559, e4b1
5TH MOVE: -1357, b7b6
5TH MOVE: -1358, a7a6
5TH MOVE: -1358, h6h5
5TH MOVE: -1499, d4d3
5TH MOVE: -1329, b7b5
5TH MOVE: -1332, a7a5
4TH MOVE: -429, d5c7
3RD MOVE: -429, a8e8
5TH MOVE: -5434, f8g7
5TH MOVE: -5609, e4e8
4TH MOVE: -5434, f6d8
3RD MOVE: -5434, a8d8
5TH MOVE: 7516, f8f7
4TH MOVE: 7516, f6f7
5TH MOVE: 7491, h7h6
4TH MOVE: 7491, f6h6
5TH MOVE: 966, e4d5
5TH MOVE: -934, e4f4
5TH MOVE: 7266, e4d4
4TH MOVE: 7266, f6d4
5TH MOVE: 1356, c8c7
5TH MOVE: -429, e4f4
5TH MOVE: -1384, f8g8
5TH MOVE: -1384, c8e8
5TH MOVE: -1384, c8d8
5TH MOVE: -1384, c8b8
5TH MOVE: -1384, c8a8
5TH MOVE: -1384, h7h8
5TH MOVE: -1384, h7g7
