fen,src,phase_score,our_total,our_ks,sf11_total,sf11_ks,geo_class,kzone_w,kzone_b,in_check_w,in_check_b,sf18
4r3/5pk1/8/3P3p/4P1p1/6P1/1R3P2/r3nBK1 b - - 2 51,vssf_2700,85,-6.751,0.0,-5.21,-0.13,quiet,1,0,0,0,-99.0
4r3/1p3pk1/6p1/1P5n/2P5/5P2/P2QBq1p/1K2R3 w - - 0 51,vssf_2700,53,0.893,1.62,-1.67,0.71,quiet,0,1,0,0,-5.59
2r5/7k/8/p4NQq/b6R/7P/5P1P/R5K1 w - - 3 38,vssf_2400,42,26.844,4.86,18.87,16.88,quiet,0,2,0,0,99.0
5k1r/1q3ppp/3b4/pprN1R1Q/8/6P1/PP3P1P/5RK1 b - - 4 28,vssf_2700,32,0.977,1.23,0.38,1.35,ks,0,3,0,0,2.21
4rk1r/pR2pp2/2N2npp/3P4/2P5/q7/4BPKB/3Q4 w - - 3 28,vssf_2400,32,-0.524,-2.04,3.65,-0.2,quiet,1,2,0,0,5.89
2b2k1r/Q3ppb1/2qp1np1/Bp5p/P7/7P/1Pn1BPP1/R1R3K1 b - - 1 20,vssf_2400,21,-5.926,0.0,-2.78,0.01,quiet,1,1,0,0,-0.25
r3n1k1/1p2bp2/2n3p1/4PbPp/3p3P/P2P1N2/qPPBQ3/1NKR2R1 b - - 2 24,vssf_2700,16,3.579,-0.69,2.17,-1.09,quiet,1,0,0,0,-2.18
r2qr1k1/p4ppp/b1n2b2/2Ppp3/N7/3p2PP/P2N1P2/1RBQKB1R b K - 1 16,vssf_2700,5,-0.321,-1.2,-0.83,-0.51,quiet,1,0,0,0,-3.68
r1b1r1k1/pp2bp2/2nqpnpp/2pp4/2P5/1PNPPNPP/PB3PB1/R2QR1K1 b - - 3 12,vssf_2700,0,0.093,0.0,0.49,-0.11,quiet,0,0,0,0,1.2
5k2/8/8/3P4/1Pp2K1P/2P5/5PP1/8 w - - 0 61,vssf1_win_d8,128,12.322,0.0,8.64,0.1,quiet,0,0,0,0,7.66
8/5K2/8/4Q3/p7/Pp4PP/1Pk5/8 w - - 3 53,vssf_2400,106,24.949,0.0,13.85,0.0,quiet,0,2,0,0,11.71
7k/5p2/7p/R7/1p6/2n4P/P4PP1/6K1 b - - 0 44,vssf_2400,112,5.351,0.0,3.77,0.44,quiet,0,0,0,0,5.04
4R3/5p1k/5Q2/6pp/2N5/p4P1P/1PPR4/6K1 b - - 1 35,vssf_2700,80,39.016,0.0,29.08,0.0,quiet,0,2,0,0,99.0
R7/8/4pk2/4bp2/5R2/2pr1NK1/8/8 b - - 9 50,vssf_2700,85,-0.886,0.0,-2.05,-1.4,ks,3,2,0,0,-6.34
7k/4Qp1p/4bnpB/2p5/8/1Pq1N1PP/5P1K/8 w - - 4 35,vssf_2400,64,-1.314,0.0,0.97,2.72,quiet,1,1,0,0,0.76
7k/pp4pp/6p1/2b1Pr2/2Q5/PBP4P/1P4PK/R1B3r1 b - - 9 27,vssf_2400,58,12.405,0.0,12.13,0.0,quiet,2,1,0,0,11.15
4R3/2p2ppk/r5qp/Np6/8/P1Q1BP1b/1PPR2P1/6K1 b - - 2 27,vssf_2700,37,18.078,1.98,10.71,0.0,ks,2,3,0,0,5.78
7Q/2qk1r2/2pb1P2/1pn4B/p2B4/2P4p/PPN4P/3R2K1 w - - 1 36,vssf_2400,37,14.878,1.44,7.22,0.43,quiet,2,2,0,0,99.0
3r1k1r/1p2qppp/2nbp3/pQ6/3PN3/6PB/PP3P1P/3R1RK1 w - - 1 18,vssf_2700,21,0.918,0.0,1.21,0.15,quiet,0,0,0,0,1.68
rnbqnrk1/p4ppp/1pp1p3/4P1N1/2P4P/5Q2/PP1N1PP1/R3KB1R b KQ - 0 12,vssf_2700,10,0.572,0.0,1.21,0.63,quiet,1,2,0,0,1.26
r1bqkb1r/pppn3p/3p2p1/1N6/2P3QN/8/PP3p2/R1BK1B1R b kq - 1 12,vssf_2700,5,4.312,3.45,0.33,2.25,quiet,1,1,0,0,-1.23
r1bqkb1r/1ppn1pp1/p1n4p/4p3/2B1P3/P1N2N2/1PP2PPP/R1BQK2R w KQkq - 0 9,vssf_2700,0,2.511,1.62,0.44,0.39,quiet,0,2,0,0,0.72
8/8/P4p2/2P5/1k2p3/7p/4PP1P/6K1 w - - 0 43,vssf1_win_d8,128,6.168,0.0,5.3,0.86,quiet,1,0,0,0,6.75
8/5K2/5Q2/7P/p7/Pp4P1/1P6/1k6 w - - 3 56,vssf_2400,106,25.285,0.0,13.83,0.0,quiet,0,1,0,0,13.31
8/6k1/6P1/1p6/1P4R1/6P1/6K1/1r6 b - - 2 45,vssf_2400,106,3.944,0.0,0.4,-0.4,quiet,1,2,0,0,4.4
8/1p5b/p3kP1P/2r1P2K/8/P7/8/B7 b - - 12 60,vssf_2400,106,-5.875,0.0,-3.22,0.52,ks,1,3,0,0,-4.89
8/3n2k1/5pp1/P6p/1BpnB2P/3p2P1/3K1P2/8 b - - 4 54,vssf_2700,106,0.186,0.0,0.15,-2.59,ks,3,2,0,0,3.47
2R5/4k3/4p3/4bp2/5R2/2r2NK1/2p5/8 w - - 4 53,vssf_2700,85,-0.339,0.0,-1.28,-1.65,ks,3,1,0,0,-8.04
6nk/4Qp1p/4b1pB/2p5/6N1/1Pq3PP/5P1K/8 w - - 6 36,vssf_2400,64,-2.066,0.0,-0.49,1.01,quiet,1,1,0,0,0.63
1r4k1/p3P2p/8/2Q2pp1/q5n1/8/PPP3PP/RN2R1K1 b - - 0 25,vssf_2400,42,10.415,0.0,7.57,0.0,quiet,1,1,0,0,6.12
1r3k1r/5p2/R2p2p1/2nP3p/2n1P3/1pN3PB/5P2/5RK1 w - - 1 35,vssf_2700,64,-2.498,0.0,-3.37,-0.03,quiet,0,0,0,0,-3.94
1rr3k1/1pqb1pp1/4p2p/p3N3/PRBPQ3/8/5PPP/2R3K1 w - - 0 23,vssf_2400,26,4.676,0.0,3.84,0.85,quiet,0,2,0,0,4.22
2nr1k1r/1q3ppp/4p3/pp1P4/1b1Q4/2N3PB/PP3P1P/4RRK1 w - - 2 23,vssf_2700,21,1.345,0.0,1.6,0.89,quiet,0,1,0,0,2.25
r2k1n1r/5pb1/2PNb1p1/p1Qp4/P3p1n1/3PP1Pp/1P3P1P/R1B1K2R w KQ - 3 23,vssf_2400,32,13.163,4.68,13.45,9.96,quiet,1,2,0,0,4.54
4rk1r/pp1qp1b1/2n2nQp/3pR1p1/2P5/BP4P1/P2N1PBP/R5K1 w - - 2 21,vssf_2700,10,5.434,3.06,4.87,3.67,ks,0,3,0,0,5.68
r1bqkb1r/pppn3p/3p2p1/1N6/2P3QN/4p3/PP3P2/R1B1KB1R b KQkq - 0 11,vssf_2700,5,4.742,2.88,1.94,2.23,quiet,1,1,0,0,-0.44
r1bqk2r/pppn1pp1/2nb3p/1B2p3/4P3/2N1BN2/PPP2PPP/R2Q1RK1 w kq - 2 9,vssf_2700,0,1.486,0.0,1.45,0.19,quiet,0,0,0,0,0.51
8/8/3kppp1/3p3p/3P1P1P/1P2KP2/2p5/8 w - - 0 41,vssf1_win_d8,128,-5.466,0.0,-6.39,0.27,quiet,1,2,0,0,-6.13
8/8/6n1/4pp2/8/1k1K1P2/8/8 b - - 1 72,vssf_2400,122,-9.456,0.0,-3.87,-0.31,ks,3,1,0,0,-13.49
8/P4R2/2K1P2p/r7/6k1/8/8/8 w - - 3 52,vssf_2400,106,5.638,0.0,5.87,0.06,quiet,1,1,0,0,5.31
3r4/p4k2/1p3P2/7p/PpP1p3/1P2P3/2KP1R2/3r4 b - - 1 46,vssf_2400,96,-7.897,0.0,-7.06,0.88,ks,4,2,0,0,-6.5
8/5pk1/5np1/p2n2Bp/2p4P/P2p2P1/1P1K1P2/7B b - - 1 41,vssf_2700,106,-1.604,0.0,-1.6,-2.11,ks,3,1,0,0,0.55
8/8/2kbp3/5p2/2p2R2/3r1NK1/4R3/8 b - - 3 44,vssf_2700,85,-0.941,0.0,-0.44,-1.77,ks,3,0,0,0,-2.2
3q1kr1/bp3p1p/7P/1p1NRpp1/8/P1P4P/1P1K4/7Q b - - 2 30,vssf_2400,53,-1.133,0.0,-1.07,-0.09,ks,1,3,0,0,0.0
r2r2k1/8/5p2/p2pn1pp/1P1Q4/q3P1PP/P3bPK1/2RR4 w - - 0 30,vssf_2700,32,-12.675,-1.98,-7.64,0.0,quiet,2,0,0,0,-4.17
r2r2k1/2p2pp1/p1p2n1p/2q1p3/P3P3/1P1P1b1P/1BP1Q1P1/R2K1R2 w - - 0 20,vssf_2400,26,-4.482,-2.1,-7.43,-4.28,quiet,2,0,0,0,1.5
