family,seed,game,our_color,result,peak_ply,peak_eval,peak_move,drop_ply,drop_eval,swing,decision_fen,drop_fen,src_dir,in_check,kring_pressure,mat_swing,ks_class
base,0,145,black,1-0,72,3242,d3d2,74,-41,3283,r5k1/r4p2/P2Q1np1/2p3b1/7p/1P1p3K/R4P2/R7 b - - 0 36,r5k1/r4p2/P2Q2p1/2p3b1/4nP1p/1P5K/R2p4/R7 w - - 1 38,base_s0,0,1,0,positional
base,0,146,white,1/2-1/2,57,7294,c5c7,61,77,7217,7r/5k2/p4p2/1pQ2b2/4q1p1/4P2p/PP1B1P1P/R2K3R w - - 2 29,7r/2Q5/p4pk1/1p3b2/6p1/4Pq1p/PP1B1P1P/R3K1R1 b - - 7 31,base_s0,0,1,0,positional
base,0,151,black,1-0,36,5390,f6e4,66,-177,5567,r4k1r/1pp1qpp1/2n1bn2/2b5/3pBP1p/PP5P/1B1NN1PK/R2QR3 b - - 0 18,3r1k2/1pp2Np1/1b5r/3b2N1/5P1p/6qP/2Q3PK/3RR3 w - - 1 34,base_s0,0,2,0,ks_attack
base,0,153,black,1-0,22,2199,d4c2,24,-4,2203,r1b2rk1/ppq2pp1/3bpn1p/2pp4/3nP3/PP1P1NP1/1BPN1PBP/R3QRK1 b - - 6 11,r1b2rk1/ppq2pp1/3bpn1p/2p5/4p3/PP1P1NP1/1BnN1PBP/R2Q1RK1 w - - 0 13,base_s0,0,0,-2,positional
base,0,155,black,1-0,40,2851,f8d8,54,-338,3189,r4rk1/p1q1npb1/2P1bnpp/PP2p3/Q1p1P3/B1N3P1/5PBP/R2R2K1 b - - 6 20,4qb1k/2P2p2/1Pn1bnpp/4p3/2p1P3/Q1N3P1/5PBP/3R2K1 w - - 1 28,base_s0,0,0,2,positional
base,0,157,black,1-0,54,3487,a6a5,60,9,3478,4r1k1/1p2rp2/pnpb2p1/2Np3p/PP1P2qP/3BP1P1/2Q1RPK1/4R3 b - - 0 27,2nr2k1/4rp2/1ppb2p1/P1Np3p/P2PP1qP/3B2P1/4RPK1/2Q1R3 w - - 0 31,base_s0,0,0,1,positional
base,0,163,black,1-0,28,2584,h8h7,36,444,2140,r1bk1b1r/ppp1nB2/3p1p2/3Pp3/2q2P2/7P/PPP3PN/R1BQ1RK1 b - - 2 14,r2k4/ppp1n1br/3pPp2/2q2P2/4p3/7P/PPP3PN/R1BQ1R1K w - - 3 19,base_s0,0,1,0,positional
base,0,164,white,0-1,105,4552,d7e6,121,-1451,6003,1r3bk1/1n1B4/5P1p/P2P2pP/1P1R4/5R2/2K5/6r1 w - - 1 53,1r5k/5P2/3bB2p/PP1Pn1pP/8/1R6/2KR4/r7 b - - 2 61,base_s0,0,2,0,ks_attack
base,0,165,black,1-0,22,3084,c8h3,24,0,3084,rnb1r1k1/pp3ppp/5q2/1Nb5/3p4/5N2/PPPQBPPP/R3K2R b KQ - 1 11,rn2r1k1/pp3ppp/6q1/1Nb5/3p4/5N1b/PPPQBPPP/R4RK1 w - - 4 13,base_s0,0,0,0,positional
base,0,167,black,1-0,32,3683,h6e3,54,0,3683,r2r2k1/1p2qp1p/2npb1pb/p1p1p3/2P5/1P1PN1PP/PB2PPB1/R2QK2R b KQ - 4 16,4r1k1/1p2rp2/2np1Rpp/2pBpb1q/p1P4P/1P1PP3/PB2PQ1K/5R2 w - - 5 28,base_s0,0,2,-1,ks_attack
base,0,168,white,0-1,87,7539,c3g7,91,-9414,16953,4r1k1/1p1r1pb1/p5p1/PbP3P1/1P2pPR1/1qBP4/5N1P/2Q3KB w - - 0 44,4r1k1/1p1r1pB1/p5p1/PbP3P1/1P3PR1/2Nqp3/7P/2Q3KB b - - 1 46,base_s0,0,2,-2,ks_attack
base,0,169,black,1-0,102,2950,d5c5,104,130,2820,2B3k1/p4pb1/8/3q4/3n4/1P1Q2KP/P7/3R4 b - - 4 51,6k1/p5b1/8/2q2p2/3n2B1/1P1Q2KP/P7/3R4 w - - 0 53,base_s0,0,0,0,positional
base,0,170,white,0-1,75,2440,f1g1,85,-205,2645,r6r/3b1p2/2p5/1pp1kPpp/p1PnP3/P1NP3P/1P6/1R1B1R1K w - - 0 38,r6r/3b1p2/2p5/2p1kP2/1PPnP2p/1pNP3P/1R6/3B2RK b - - 0 43,base_s0,0,0,-1,positional
base,0,175,black,1-0,36,3089,g4f3,42,461,2628,r4rk1/pp2ppbp/6p1/3nn3/PP4b1/3P2P1/R1PB1P1P/1N2KBNR b K - 0 18,1r3rk1/pp2ppbp/6p1/3n4/PP6/3P2P1/R1PK1P1P/1N3B1R w - - 1 22,base_s0,0,0,0,positional
base,0,176,white,0-1,59,3923,b4c5,63,405,3518,2kn2r1/2qp4/pp2pp2/2p5/1PP2P1r/P2QP2B/3P2PP/RR4K1 w - - 1 30,Q1kn2r1/3p4/pp2pp2/2q5/2P2P2/P3P2r/3P2PP/RR4K1 b - - 1 32,base_s0,0,2,3,ks_and_material
base,0,178,white,0-1,41,3517,f4f5,49,-909,4426,r1bk3r/1p1nq3/p2p4/P1pP1p1n/2P1PRpp/2P1P3/R1QNB1PP/2B3K1 w - - 4 21,r3k2r/1p1nq3/p2p4/P1pP1P1n/2P3pp/2P1P3/RQ1NB1PP/2B3K1 b - - 2 25,base_s0,0,0,1,positional
base,0,180,white,1/2-1/2,51,6315,d1e3,85,24,6291,1Q6/p4kr1/2p3q1/3p2B1/6bP/3P4/PPP5/3N2K1 w - - 2 26,8/5r1k/2p4P/3p2B1/p2PbN1K/P1P3Q1/1q6/8 b - - 1 43,base_s0,0,0,1,positional
base,0,181,black,1/2-1/2,50,3480,b6c5,56,420,3060,1r1r2k1/p1p1q1p1/1bp2p1p/2P1pP1P/1P2P3/P3pN2/2P3Q1/R3K1R1 b Q - 0 25,6k1/p1pr1qp1/2p2p1p/2P1pP1P/4P1Q1/P3pN2/1rP5/R4KR1 w - - 5 29,base_s0,0,1,2,positional
base,0,183,black,1-0,44,3103,h8g8,50,161,2942,1r2k2r/1p3p2/2nqp3/3pNb1p/3Pn3/P3PP1P/1Q2B3/2R1BRK1 b k - 0 22,1r1qk1r1/1p3p2/1Qn1p3/3pNb1p/1B1P4/P3PP1n/4B2K/2R2R2 w - - 2 26,base_s0,0,3,-1,ks_attack
base,0,185,black,1-0,36,2166,h5h4,48,3,2163,r2r2k1/pp1q1pb1/6p1/2Ppp2p/3Pn3/RN2BBPb/1P2PP1P/3QR1K1 b - - 1 18,r1r3k1/pp1q1p2/6p1/2P5/4p3/R3BNPb/1b2P2P/2QR2K1 w - - 0 25,base_s0,0,0,-1,positional
