fen,src,phase_score,our_total,our_ks,sf11_total,sf11_ks,geo_class,kzone_w,kzone_b,in_check_w,in_check_b,sf18
2kr1br1/1p1nnp2/p6p/3pP1p1/2pP1p1P/2P1N3/P1QB1PP1/3B2K1 w - - 0 21,vssf_2700,53,-2.016,0.0,-0.69,0.4,quiet,0,0,0,0,
3k1b1r/1B2p1p1/p2qb2p/2r1Np2/Q4P2/2P5/P3PP1P/3R1RK1 b - - 1 20,vssf_2700,21,4.633,2.88,13.72,12.28,ks,0,3,0,0,
4rk1r/pp1qp1b1/2n2nQp/3p2p1/2PP4/BP4P1/P2NRPBP/R5K1 b - - 0 19,vssf_2700,10,5.111,3.06,6.03,3.68,ks,0,3,0,0,
3rk1r1/6qp/b1p5/P1n1np2/2p1p2P/4P3/PNQb1P2/1R1K1BNR w - - 4 25,vssf_2700,5,-12.824,-4.86,-19.74,-12.16,quiet,2,0,0,0,
rn1qk2r/1p1b1ppp/3bpn2/p3N1B1/3Pp3/2N3P1/PP3P1P/R2QKB1R w KQkq - 0 10,vssf_2700,0,-1.059,0.0,0.39,0.1,quiet,0,1,0,0,
8/7p/P2k3K/6P1/1p6/8/8/8 b - - 0 53,vssf1_win_d8,128,0.131,0.0,1.69,-0.34,quiet,1,0,0,0,
8/8/2kp2p1/5p2/5P1p/8/PPP2P2/4R1K1 w - - 0 31,vssf1_win_d8,117,10.238,0.0,7.41,0.0,quiet,0,0,0,0,
8/8/8/8/8/5kp1/6r1/R6K b - - 15 81,vssf_2400,106,-4.685,0.0,-1.29,-3.31,ks,3,1,0,0,
8/3k1p2/7R/1p1n3P/1P6/PK6/8/3r4 w - - 0 67,vssf_2400,101,-4.609,0.0,-2.97,-1.99,quiet,2,1,0,0,
1k6/7r/4n3/1p1pN3/3P1p2/4PP2/7p/5K1R w - - 0 45,vssf_2400,96,-3.605,0.0,-2.13,0.36,quiet,1,0,0,0,
4r3/1p3pk1/6p1/1P5n/P1P5/5q2/2Q4p/1K1R4 w - - 1 56,vssf_2700,58,-6.876,-1.17,-7.77,-0.42,quiet,0,1,0,0,
5rk1/5ppp/3p1q2/2pp4/Pr6/4QPP1/5P1P/R4K1R w - - 1 23,vssf_2700,42,-2.741,0.0,-3.97,-2.02,quiet,0,0,0,0,
r3k2B/p2p3p/2n1p1p1/3nP3/2p5/2P2PP1/P6P/2R2KNR w q - 0 20,vssf_2400,74,7.611,0.0,4.91,0.23,quiet,0,0,0,0,
2r1r3/1p3kp1/p4b2/7p/1P6/Pn2B3/R4PPP/1N1R2K1 b - - 3 28,vssf_2700,64,1.019,0.0,0.0,0.47,quiet,0,0,0,0,
r3kbr1/1p1nnp2/p6p/3pPpp1/2pP1B1P/2P5/P1Q2PP1/3B1NK1 w q - 0 19,vssf_2700,53,-1.637,0.0,-0.87,0.57,quiet,0,0,0,0,
1k5r/3r1pbp/1p4p1/3p4/1n1n4/2NPBPP1/1P2P2P/1N1K1B1R w - - 4 21,vssf_2700,58,-0.42,0.0,-1.36,-0.16,quiet,2,0,0,0,
r4rk1/1p3pp1/2B5/p2p2q1/3PnNb1/1PB1P1Pp/P6P/2R1QRK1 b - - 0 18,vssf_2400,16,2.441,0.0,3.18,-1.19,quiet,2,0,0,0,
4rk1r/pp1qp1b1/2n2npp/3p2p1/2PP4/BP4P1/P2NRPBP/RQ4K1 w - - 7 19,vssf_2700,10,3.687,1.8,3.15,1.35,quiet,0,2,0,0,
2q1kb1r/1p1b1pp1/1rn1pn1p/p2p4/3P1B1P/2N2NP1/PPQ1PPB1/3R1K1R w k - 0 13,vssf_2700,0,1.447,0.0,1.12,-0.27,quiet,0,0,0,0,
8/p4p2/Pp2p3/2p5/5k2/1PP5/3P2K1/8 b - - 1 42,vssf1_win_d8,128,-2.292,0.0,-2.05,-0.62,quiet,1,2,0,0,
8/8/6P1/8/3p4/8/5r1k/4K3 w - - 0 80,vssf1_win_d8,117,-5.444,0.0,-3.38,-0.44,quiet,1,0,0,0,
8/6k1/5rp1/8/6K1/2R5/8/8 w - - 10 60,vssf_2400,106,-2.089,0.0,0.12,-0.28,quiet,2,0,0,0,
7Q/P5p1/8/2b4p/2p5/n3k2P/8/5K2 b - - 0 48,vssf_2400,96,1.775,0.0,5.54,1.31,quiet,1,1,0,0,
1k6/7r/4n3/1p1pNpp1/3P4/4PPP1/7p/5K1R b - - 1 43,vssf_2400,96,-3.614,0.0,-2.66,0.7,quiet,1,0,0,0,
8/8/1pr2k1p/pNp2p2/2b2P2/P1N1P2P/8/4K1R1 w - - 2 32,vssf_2700,90,1.353,0.0,2.5,0.69,quiet,1,2,0,0,
