fen,target_ks,target_total,our_total_base,our_ks_base,tier,phase_bucket,split
2kr4/1pp2pp1/4p3/p2pP2r/1b3P1q/2N1P3/PPP3QP/R4RK1 w - - 0 17,-2.655,-2.66,0.41,0.0,target,midgame,val
5rk1/3qnppp/8/1r2p3/3p2PP/p2p1P2/P2N4/1QR1KB1R w K - 2 27,-1.62,1.07,-0.555,-1.62,working,midgame,train
8/8/8/8/1p2bp2/4k3/8/3K4 w - - 8 70,-3.885,-99.0,-15.806,0.0,target,adveg,train
8/8/8/1pBkpp2/1P6/1r6/6K1/8 b - - 3 47,-2.353,-6.24,-8.523,0.0,target,adveg,val
2k5/8/8/8/8/3nrP2/6KP/R7 b - - 2 50,0.0,0.06,-1.678,0.0,target,endgame,train
r4bk1/5ppp/2p5/2P3q1/P7/5P2/2Q2P1P/5K1R b - - 2 27,-1.02,-5.0,-4.059,0.0,target,midgame,val
3k3r/2p3n1/1p1p4/p1PP1p1p/P2P3K/4rPPB/1R6/2R5 b - - 0 38,0.0,2.07,-0.403,0.0,target,endgame,val
Q1bk2r1/2p1n1b1/pp5p/5P2/3PN3/2P4P/PP4P1/5RK1 w - - 1 31,1.21,8.09,10.676,1.26,working,endgame,train
1r2kr2/4p1bp/2n3p1/1p1Q2N1/1n1P4/BP5P/5PP1/5RK1 w - - 1 26,3.378,5.39,7.501,2.52,working,midgame,val
3r1knr/3bq1p1/1RpNp1Q1/4Pp1p/3P4/p1NB4/P4PPP/1R4K1 w - - 2 27,1.68,7.45,7.023,0.0,target,opening,train
6k1/R7/5K1p/6p1/5P2/4n1P1/6P1/4B3 w - - 0 53,2.92,12.32,11.475,0.0,target,adveg,train
4k1r1/1p3p2/2q1bp2/p1bp3p/8/P1r2NPP/1Q2PPB1/R2R2K1 w - - 1 23,-1.26,0.06,-0.352,-1.26,working,opening,val
r2qr1k1/1p3ppp/p2pbb2/4p3/2P1n3/1P2QNPP/P4P2/RNB1K2R b KQ - 1 17,-1.15,-4.16,-2.507,0.0,target,opening,val
r3kb1r/1p1n1p1p/2p1q1p1/N1PN1b2/Q2Pp3/P3P3/5PPP/R1B1KB1R b KQkq - 0 14,1.2,1.96,5.16,1.26,working,opening,train
8/7p/5k2/7P/3pBP2/3P4/1rp5/6K1 w - - 0 46,0.0,-99.0,-2.341,0.0,calm,adveg,train
r5k1/4R2p/ppR3p1/5p2/3r4/BP5P/P4P1P/6K1 w - - 2 24,1.98,99.0,6.16,0.0,target,endgame,train
rr4k1/4bppp/p2pp3/p2b2P1/n2Pn3/4QN1P/1PR1PPB1/1K5R b - - 1 23,-1.8,-0.48,0.373,-1.8,crowded_safe,midgame,val
1nb2rk1/3pqp1p/1Np2npb/1pP5/1P1Pp1P1/4P3/1B1N1P1P/r2QKB1R w K - 0 15,0.0,-0.26,-0.495,0.0,target,opening,train
r2qr1k1/pp3p1p/n2p2p1/2p2bPn/2P1N3/1NbB1P2/P2B3P/1R1QK1R1 b - - 3 17,-1.57,-4.31,-2.909,0.0,target,opening,train
8/3n2R1/1N1k1pp1/1P2p2p/4P2P/6P1/7K/q4r2 w - - 0 62,0.0,-99.0,-12.561,0.0,calm,endgame,train
6k1/q5n1/4np1p/PRp5/2Pp2QN/3P2P1/5P1P/6K1 w - - 0 46,3.27,6.34,7.673,0.0,target,midgame,train
r2q1rk1/1p2bppp/8/p1Pp4/4b3/P1QNP1P1/1P3P1P/R1B1K1R1 w Q - 0 17,-1.086,-1.98,-0.308,0.0,target,opening,val
Q7/8/6pp/1pp1q1p1/8/2Ppk2P/8/6K1 w - - 8 52,-3.13,-8.08,-11.048,0.0,target,endgame,train
5r1k/p7/1p1p3p/3Pp1b1/7q/2NQ1r1P/PPP5/1K2R1R1 w - - 10 28,0.0,0.0,0.301,0.0,target,midgame,train
rnbk2nr/p1q1p1b1/1ppp2B1/7p/2PP2P1/1P2PQ1P/P2N1P2/R1B1K2R w KQ - 1 14,1.5,4.09,-1.117,0.0,target,opening,train
8/4K3/k3B3/1b5p/2pP1P2/8/7P/1R6 w - - 3 49,3.335,9.11,11.803,0.0,target,adveg,train
5k2/P3b3/1B3p2/4p3/4K2p/6r1/8/R6R w - - 3 42,0.0,11.92,8.576,0.0,target,endgame,train
3r2k1/pp3pp1/4p2p/P7/5q2/1RQ2PPP/1P6/3r1B1K b - - 0 41,-6.12,-99.0,-5.088,0.0,target,midgame,train
1k6/5R2/2p3P1/p3PK2/r7/8/1PP5/8 w - - 0 49,1.62,99.0,8.377,0.0,target,adveg,train
8/3rbk2/4p2p/4Rp1P/1p1r1P2/4K3/8/4N3 b - - 3 50,0.0,-7.49,-13.09,0.0,calm,endgame,train
q3k2r/p2n1p1p/1p2pp2/8/1Q1P4/2p1P1P1/PP3P1P/R1B2K2 b k - 0 17,0.0,0.0,-0.243,0.0,target,midgame,train
3k3r/ppr1pp1p/2n1b3/1BpN4/8/8/PPP2PPP/1K1RR3 w - - 7 21,1.5,3.61,0.698,0.0,target,endgame,val
r3r1k1/pp3p1p/6p1/2bQ4/8/P1NqP1Pb/1P3P1P/R1B1K2R b KQ - 1 17,-2.247,-2.13,-2.359,-1.62,working,opening,train
5r1k/p2n1p1p/1p2pp2/8/3P2Q1/4P1P1/PP1K1Pq1/R1B5 w - - 9 25,0.0,0.0,-2.434,0.0,target,midgame,val
4k2r/pprbpp1p/2n5/1Bp4N/8/8/PPP2PPP/1K1RR3 w k - 3 19,1.935,3.73,-0.137,0.0,target,endgame,val
8/8/6k1/2R3P1/7p/7K/8/8 b - - 6 61,3.15,63.99,12.074,0.0,target,adveg,train
1k6/2p1PK2/4R3/1P4p1/2P5/8/8/4r3 b - - 8 56,0.0,12.53,5.49,0.0,target,adveg,train
5b1k/2RQ4/6p1/4P2p/5P2/6PP/5K2/q7 b - - 5 46,1.84,3.67,8.284,0.0,target,endgame,train
r1bqk2r/1p3ppp/p1n2n2/2pp4/5b2/3P1NPP/PPP1NP2/R2QKB1R w KQkq - 0 10,-1.57,-1.1,-4.324,0.0,target,opening,val
6k1/p5pp/1pb2p2/5p1P/2P5/P6R/3rrP2/2R2K2 w - - 1 37,-4.47,-6.8,-8.64,0.0,target,endgame,train
5b1r/1p1k2p1/3P2R1/3n3p/5B2/p3P3/P4PPP/4K2R w K - 3 29,2.133,4.89,7.631,0.0,target,endgame,val
r1bq1rk1/pp2b1pp/2p2n2/2n1Pp2/2P5/2N1P1PP/PPQN1PB1/R3K2R b KQ - 2 15,-1.413,-3.76,-3.467,-1.44,working,opening,val
2k1b2r/1p3p2/p1pr2pp/B2pp2n/3N4/6P1/PP2PPBP/2RR2K1 w - - 0 21,2.56,4.63,2.77,0.0,target,midgame,val
r2q2k1/6pp/p1p1bn2/1p6/1bn1P3/2N2Q1P/PBPP2P1/R3K2R w KQ - 5 19,-2.01,-4.84,-5.106,-1.98,working,opening,train
8/3n2R1/3k1pp1/1P1Np2p/4P2P/6P1/p6K/r7 b - - 1 60,0.0,-8.38,-1.008,0.0,target,endgame,val
5k2/p4p2/n2NR3/8/3P2P1/8/r5PP/5RK1 b - - 1 39,0.0,10.12,12.613,0.0,calm,endgame,val
2r1k3/3n1p1r/P1p1p1pp/B3q3/2P5/4Q1P1/1P2PP1P/R2R2K1 w - - 5 28,1.15,6.07,2.963,0.0,target,midgame,val
7k/R7/2P2N1p/8/1r3p2/8/2b2KPP/8 w - - 0 47,2.325,6.79,2.703,0.0,target,endgame,train
8/pp6/2p4p/3kb1p1/1P2Rn2/5P1P/r7/5KN1 w - - 8 46,0.0,-7.87,-11.652,0.0,calm,endgame,train
5k1r/4b1pp/pr2b1q1/1p2QN2/8/PB6/1PP2RPP/3R2K1 b - - 0 24,3.42,6.86,3.73,1.98,working,opening,train
8/pp6/2p4p/3kb1p1/1P2R3/5P1n/r3N3/5K2 w - - 0 47,0.0,-7.49,-12.572,0.0,calm,endgame,train
5rk1/pp4pp/n7/2b5/2N1P3/P1N5/1PP3qP/2KR3R b - - 0 22,-1.42,-4.43,-4.47,0.0,target,midgame,train
1r2kb2/pp1b2p1/2np4/2pN3r/2P1P3/Q2P1pq1/PP1R1R2/2K2B2 w - - 0 24,0.0,-4.3,-5.922,0.0,target,opening,train
1r1qr1k1/1p1b1p2/p1np1bpp/2p4n/2P1BP1P/P1NPP3/1PQN1P2/R2K3R w - - 3 18,-1.19,-4.06,-4.564,0.0,target,opening,train
8/8/3kppp1/3p3p/1p1P1P1P/1Pr1RP2/5K2/8 w - - 0 39,-0.223,-4.3,-3.611,0.0,calm,adveg,train
6k1/p4rpp/2p5/8/5P2/1P1QPK2/7q/8 w - - 2 33,-5.17,-5.79,-10.245,0.0,target,endgame,train
2r1k3/1p5r/p3pR2/P6p/1RPPp3/8/6PP/6K1 b - - 0 29,2.131,1.25,0.072,0.0,target,endgame,train
4k2r/2Qn1pp1/2B1p3/2B4p/8/8/1PK2PPP/r5R1 b k - 0 30,3.54,99.0,11.131,3.54,calm,midgame,val
3r2k1/1p1q1pp1/3b1n1p/pP6/P2Q1P2/4PbPP/1B1R3R/5K2 w - - 5 29,-2.04,-2.92,-2.027,0.0,target,midgame,train
8/8/p1N5/2p3pk/7p/P6K/2r5/8 w - - 2 57,-7.665,-99.0,-12.854,0.0,target,adveg,train
7k/5Q2/7b/8/1P6/P6P/5PPK/r7 w - - 3 41,5.24,6.86,13.67,0.0,target,endgame,val
6nk/2R3p1/8/3r2N1/1P1p1P2/8/5KPP/8 b - - 8 40,1.481,3.95,3.998,0.0,target,endgame,train
2kr1br1/Qpp2pnp/3q2pB/p2Pp3/4P1P1/2N4P/PPP5/R3KR2 w Q - 4 17,2.963,4.15,3.154,1.98,working,opening,train
8/1p2kp1p/3p4/P1r2p2/5P2/8/3K4/5N2 b - - 5 47,-1.95,-6.65,-10.357,0.0,target,adveg,val
7k/5R2/5n2/6N1/1P1r1P2/3p4/6PP/4K3 b - - 2 43,2.57,3.94,4.888,0.0,target,endgame,train
7r/p7/1p2ppp1/3p1n2/k2P1P2/2r4P/1R2R1K1/N7 b - - 1 47,-5.2,-7.41,-7.737,0.0,target,endgame,val
3q1k2/6rp/Q2p1ppB/2p4n/4P1P1/1N1P4/1PP4P/5RK1 b - - 0 27,1.12,6.71,8.287,0.0,target,midgame,train
2r4k/pp2pp2/1q1p4/1B1Pb2P/Pnp3p1/R1Nb4/1P1Q2P1/2K2R2 w - - 8 29,-2.11,-0.85,-0.545,0.0,target,midgame,train
r2qr1k1/ppp2ppp/3p1b2/3P1b2/2PQP3/2N2n1P/PP1B1P2/R4KNR w - - 3 18,-1.38,-2.94,-1.553,0.0,target,opening,train
1k2q2r/pp3pQ1/2pb1p2/7p/8/7P/PP2BP1P/4RR1K b - - 7 23,0.0,4.94,5.1,0.0,target,midgame,train
1r4r1/pp6/1np2kbR/3n4/2pP4/P4NP1/1P3P2/2KBR3 w - - 0 31,2.34,-0.75,1.962,2.34,working,midgame,train
2r2k1r/3b2b1/p1N1qp1p/4p1pQ/3pP2P/3P2B1/PPR2PP1/2R3K1 w - - 1 22,2.251,2.32,2.734,1.26,working,opening,val
r3r1k1/pp3p1p/1q1p2p1/2P1bbP1/1p2Nn2/1N1B1P2/P2Q3P/2R1K1R1 b - - 0 22,-1.48,-5.5,-3.769,0.0,target,opening,train
R7/2R1ppr1/3pknpp/8/P7/4PB2/5PPP/6K1 w - - 3 31,1.38,7.21,9.461,0.0,target,endgame,val
8/8/2k1p1pp/p1p2p2/P1K2P1P/1P2PP2/8/8 b - - 0 38,0.0,0.0,-0.244,0.0,crowded_safe,adveg,train
2rk3r/p2q1ppp/1n1p1b2/Q7/8/P1P2N2/1P3PPP/RN2R1K1 b - - 0 19,1.25,1.56,1.541,0.0,target,opening,train
8/8/6p1/1p3p2/2k4P/3N2P1/p3KP2/8 w - - 0 48,0.0,-6.5,0.247,0.0,target,adveg,train
rnb1kb1r/p1q1pp1p/5np1/2pp4/1P6/2P1PN2/P3BPPP/RNBQK2R w KQkq - 0 8,0.0,0.0,-0.46,0.0,target,opening,train
5k2/5P2/5KBP/1P6/P1P5/8/1p6/8 w - - 0 65,0.0,99.0,19.676,0.0,calm,adveg,train
r1bk3r/3qb2p/p4p2/3pp2N/P7/7P/1PQ2PP1/R1B2RK1 w - - 3 19,1.86,1.87,-0.051,0.0,target,opening,train
5k2/5P2/5KB1/1Pp4P/Pp6/1P6/8/8 b - - 0 62,0.0,99.0,17.623,0.0,calm,adveg,train
4r1k1/pp4pp/5p2/3P4/q7/3r1N2/P4PPP/2Q3KR w - - 1 33,-1.507,-6.47,-5.242,0.0,target,midgame,train
1rbnk2r/1p1p3p/p7/3N1p2/6p1/8/PPPR1PPP/2K2B1R w k - 2 18,3.55,3.33,0.357,0.0,target,endgame,train
4r1k1/pp2qpbp/2p2np1/P2p4/1P2rP2/2PQP1P1/B1N4P/1R1KR3 w - - 3 24,-1.26,-2.58,-1.058,0.0,target,opening,train
8/5k2/7p/2p1R1p1/P3p1P1/8/P3KP2/8 b - - 0 39,1.97,8.1,9.61,0.0,target,adveg,train
8/7p/6p1/2p2p2/8/2Q3PP/3pr3/4k2K b - - 9 56,0.0,-5.65,1.468,0.0,target,endgame,train
7R/8/8/1p6/p1n5/2k5/6r1/K7 w - - 6 62,-5.08,-6.13,-13.371,0.0,target,endgame,train
6k1/p4rp1/P3p3/1p5p/2pP1P2/3qPQ2/6R1/7K b - - 3 41,1.02,-3.17,-2.422,1.02,working,endgame,train
1r2k1r1/p3qpbp/1n4p1/Q1p2b2/5N2/4P1P1/PP1P1PBP/R1B1K2R w KQ - 3 17,1.95,2.94,0.395,0.0,target,opening,val
5k2/4n3/2r4p/1Q4p1/PPP5/7P/5PP1/6K1 w - - 1 33,1.78,6.75,12.322,0.0,target,endgame,train
2r3k1/3q2p1/3p4/3Ppp2/1p6/1P1P2P1/4Q3/6KB w - - 1 35,-4.38,-4.81,-5.131,0.0,target,endgame,train
6k1/1p3p1p/p1n1p3/P3P2p/3P2q1/2B3r1/1PKRQ3/8 b - - 1 41,-2.513,-4.03,-7.37,-2.28,working,midgame,train
3r2k1/pp4p1/4p3/P4p1Q/1q5P/4P3/3N1Pb1/1B2K1R1 w - - 3 30,-0.36,0.0,1.382,-0.36,crowded_safe,midgame,train
r4rk1/p2n1pp1/7p/1p5q/4QPbb/PP2PB2/4K2P/1RB4R w - - 9 25,-1.8,-4.3,-6.7,0.0,target,opening,val
r4knr/pRN2pp1/2nb1q1p/8/8/B2p1NP1/P2P1PBP/4QRK1 w - - 3 19,1.01,7.68,8.326,0.0,target,opening,train
8/1p6/1pp2kp1/4p3/P1P1K1PP/1P6/8/8 w - - 3 46,0.0,5.51,0.29,0.0,calm,adveg,train
7k/8/3nPp2/2Np4/3P1KP1/7P/8/8 b - - 0 61,0.0,5.09,7.619,0.0,calm,adveg,train
6k1/Q5p1/3p4/1q1Ppp1B/1p6/1r1P2P1/8/6K1 b - - 3 38,0.0,-5.93,-8.654,0.0,target,endgame,train
r5k1/1p5p/3ppr2/pPP1p1NP/2n1P3/8/4KpP1/7R b - - 0 37,0.0,-6.43,-14.593,0.0,calm,endgame,train
r1bq1rk1/1pp2ppp/5P2/p2N4/1bpQ4/8/PPP2PPP/R1B1R1K1 b - - 1 12,2.33,1.81,-2.999,0.0,target,opening,val
rn1q1rk1/p4pp1/4bb1p/1p6/4B3/PP2PP2/2Q4P/1RB1K2R b K - 0 17,-3.66,-4.83,-1.766,0.0,target,opening,train
1rq3k1/5ppp/p7/2p1p1b1/N1P1P3/5P2/P3Q2P/K2R4 w - - 9 33,-1.597,-1.91,-1.528,0.0,target,midgame,train
2r2rk1/p4pbp/p3b1p1/q2N4/P3P1nP/1P3Q2/2P1NPP1/3RR1K1 b - - 12 18,0.0,-3.69,-2.18,0.0,target,opening,train
rnb1kb1r/3pqppp/2p5/pPP5/3Q4/4nNP1/1P2PP1P/RN2KB1R w KQkq - 0 10,-1.26,0.31,-2.159,-1.26,working,opening,val
5k2/5P2/5KB1/1P5P/P1P5/1p6/8/8 w - - 0 64,0.0,99.0,19.544,0.0,calm,adveg,train
3B4/1k6/3pB3/2pPb2P/2P2p2/8/5PP1/6K1 w - - 1 54,2.01,6.73,10.926,0.0,target,adveg,train
6k1/2p2pp1/3p4/3Pp1bp/4P3/P4P2/2K5/8 b - - 1 40,-1.11,-7.77,-10.052,0.0,target,adveg,train
8/p3kp1N/1p5P/2p1r3/6P1/5P2/PP6/6K1 w - - 0 37,-1.069,-1.65,-0.618,0.0,target,adveg,val
8/8/1pK5/r7/8/8/6k1/3R1q2 w - - 0 91,0.0,-4.01,-11.252,0.0,calm,endgame,val
4kr2/2R4p/1pn2b2/4pp2/4bN2/2B5/PP2KP1P/2R5 w - - 4 26,1.335,3.74,2.659,0.0,target,endgame,train
8/p4p1p/8/Pp5P/1n1k1P2/1Kp5/8/8 w - - 0 48,-3.915,-12.81,-10.714,0.0,target,adveg,train
6k1/8/r3np2/1P6/3P4/2P4R/6PP/6K1 w - - 0 42,2.22,7.45,8.01,0.0,target,endgame,train
R7/ppp2kpp/4b3/3Bp3/2P4r/P1N5/1P3P2/4b1K1 w - - 0 29,0.0,-0.59,-1.672,0.0,target,endgame,train
4k1r1/3N1p2/p1p1q2p/3n4/P2Pp3/Q3P1B1/1P2B1K1/5R2 b - - 0 33,-0.72,3.65,4.383,-0.72,calm,midgame,val
3q1rk1/3nb1pp/r2p4/3Pp3/8/2Q1PN2/1PP3PP/2KR3R w - - 0 18,-1.38,-4.31,-1.558,0.0,target,midgame,train
6k1/pp4p1/4p3/q4r2/6QP/4P3/5PK1/6R1 w - - 0 36,-1.978,-1.4,-2.846,0.24,target,endgame,train
8/Rpp2kpp/4b3/3Bp3/2P4r/P1N5/1P3P2/4b1K1 b - - 0 29,-2.16,-1.91,-2.082,0.0,target,endgame,train
6r1/2pk3r/2p1pQ2/3p3P/p2P4/1bP5/1P3PP1/4R1K1 b - - 8 45,2.5,4.44,6.125,0.0,target,endgame,val
6kr/3R2b1/3N2r1/2p1p2p/1p6/4B3/PPP2PPP/4R1K1 b - - 2 32,2.67,6.28,8.26,0.0,target,endgame,train
r2qkb1r/1b2np2/6p1/3pP1B1/7p/p2Q2P1/PPP2PBP/1R2K2R b Kkq - 1 15,1.98,-2.76,0.561,1.98,working,opening,train
r1bqkb1r/pp3ppp/3P1n2/8/2N1p3/1Q6/PP2BPPP/R1B2RK1 w kq - 0 15,1.62,5.78,1.705,1.44,working,opening,train
6k1/p1p5/6Pp/2p1P3/4R3/P1Pq4/6P1/7K w - - 1 38,-1.301,-6.1,-6.195,0.0,target,endgame,val
8/8/4k3/pp6/3pPn1p/1P1P1KbP/2B5/8 w - - 4 46,-3.21,-6.46,-7.027,0.0,target,adveg,train
4k3/4n3/p3R1p1/4Kp2/1NpP2pb/2P5/PP3r2/1R1Q4 b - - 4 33,-0.87,6.49,7.882,-0.87,calm,midgame,val
5k2/3p4/2br4/4pp2/4P1N1/5KPp/7P/R7 w - - 0 47,0.0,-0.14,-1.951,0.0,target,endgame,train
r4r1k/pp3pp1/2N2n1p/P3q3/1PP5/3BP1Pb/5P1P/1R1QK2R b K - 0 18,-2.43,-4.62,0.012,0.0,target,opening,train
2kr1n1r/ppq1ppb1/2ppbnpp/P5N1/1PPP4/2NBP2P/5PP1/R1BQ1RK1 w - - 0 14,1.575,3.73,0.419,0.0,target,opening,train
2Rq2k1/5p2/rp1p3p/3Nn1pB/3QP3/P6P/5PP1/6K1 b - - 1 33,12.55,7.62,-0.355,0.0,target,midgame,val
r2r2k1/1b2qppp/4p3/p3bn2/PpPP2R1/2PQP2P/N5P1/R3B1K1 b - - 0 25,-1.82,-5.98,-5.488,0.0,target,opening,val
8/7p/7p/7P/8/5k2/7r/4K3 w - - 0 56,-3.105,-99.0,-12.936,0.0,target,adveg,train
8/8/8/2pp1k2/4n2P/1P2PK2/8/2B5 w - - 1 54,0.0,0.28,0.816,0.0,crowded_safe,adveg,val
6k1/6b1/3P3p/2P2R2/3r2PP/4K1P1/8/8 b - - 4 48,0.0,3.35,3.354,0.0,target,endgame,val
4k3/3N1pp1/1p1P4/pb1P4/5bN1/BP5p/1PK5/8 b - - 0 49,0.0,-5.56,-3.887,0.0,target,endgame,val
8/8/2k3pp/P7/6PP/2p5/2K5/8 b - - 2 54,0.0,5.24,0.744,0.0,target,adveg,train
3b2R1/3k4/1pp1rp2/p1p2N2/P1P1PP2/1P2K3/2PB4/8 w - - 5 44,1.66,6.87,8.223,0.0,target,endgame,train
6k1/p2b2rr/1pp3Q1/3p2pp/3B4/1P1PP2P/P2P2P1/5RK1 w - - 2 30,2.16,99.0,10.75,2.16,calm,endgame,val
r4rk1/ppp2pp1/3p1n1p/4p2b/q1PnP2P/P1QPNPP1/1P4B1/2R1K1NR b K - 0 18,0.0,-0.53,-0.37,0.0,target,opening,train
6k1/p1b2ppp/Ppp3rr/3p4/3P4/2B1PP1P/1PP5/2R2N1K w - - 1 33,-5.13,-7.33,-5.06,0.0,target,endgame,train
r5k1/5rpb/2pp3p/p3p2P/qpPnP3/Pn1P1P2/1P1Q1NB1/2R1K1NR w - - 2 32,-2.807,-5.54,-1.129,0.0,target,opening,train
r1b2knr/pp1n2bp/2pN1pp1/2qp2B1/P4Q2/2P2N1P/4PPP1/R3KB1R w KQ - 1 14,-0.18,-2.24,-1.085,-0.18,target,opening,train
5k2/8/5PK1/7P/8/8/8/8 b - - 0 56,1.65,99.0,8.828,0.0,target,adveg,train
6k1/1R6/4p3/8/1K2p2P/4P3/1P3P2/5b2 b - - 0 36,1.624,8.08,7.756,0.0,target,adveg,train
3k4/8/4rp2/2Rrp3/4P1pp/5P2/3B2PP/1R4K1 w - - 0 42,5.151,8.56,12.559,0.0,target,endgame,train
8/5pp1/p1p1kb2/3n1br1/P7/2P2R2/1K1R1P2/8 w - - 6 31,0.0,-6.73,-12.179,0.0,calm,endgame,train
rq1r1nk1/pp1n1p1p/3p2p1/1Pp5/4P3/P1NBBQ1P/5PP1/2R1R1K1 b - - 1 21,1.08,5.31,5.776,0.0,target,opening,val
8/p2bk3/rp5p/5Pp1/2PNN3/8/4KP2/8 w - - 0 41,0.0,-4.11,-4.538,0.0,target,endgame,val
r3k2r/p5pp/RBp1q3/8/1P6/8/2P3PQ/5RK1 b kq - 0 30,4.18,5.07,6.566,3.96,working,midgame,val
8/pp2n3/4k3/2ppP2p/P4P2/2B1P1K1/P7/8 b - - 1 34,-0.255,-3.11,-0.021,0.0,calm,adveg,train
2r3k1/4p2p/3p2p1/3r1p2/7P/P1n1P1P1/5K2/R4B1R b - - 3 30,-2.82,-4.22,-0.898,0.0,target,endgame,val
r4rk1/5qpp/3bb3/3p3n/3Pp1P1/2N1B2P/1P1QNP2/2R3KR b - - 0 30,-3.17,-1.37,-1.119,0.0,target,opening,train
8/8/6pB/5p1p/5P1P/4k3/1r6/5K2 b - - 11 66,-3.056,-5.98,-6.837,0.0,target,adveg,train
3r4/3k1ppp/8/3np3/8/5PP1/3R2KP/r2NR3 b - - 3 41,0.0,-0.48,-0.662,0.0,target,endgame,train
2q2knr/2p5/1pBp1p1p/6p1/4P2Q/4B3/RPP2PPP/6K1 w - - 0 19,3.2,6.75,5.5,0.0,target,midgame,train
rn1qk1nr/pp2bppp/4b3/2pp4/3P1N2/2N1P3/PP3PPP/R1BQKB1R b KQkq - 2 7,1.8,0.51,2.733,1.8,working,opening,train
8/8/6pB/5p1p/5P1P/3k4/2r5/5K2 b - - 83 102,-3.585,-7.5,-7.137,0.0,target,adveg,val
6k1/1R6/8/5N2/1p4PP/4K3/8/1r6 b - - 2 54,8.025,5.93,9.371,0.0,target,endgame,train
2Bk4/1p2r2p/3p2p1/8/3n3Q/6P1/P3PP2/6K1 b - - 0 34,1.54,5.9,9.221,0.0,target,endgame,val
1k5r/p2q1pp1/P7/4pP2/4P1Pp/b2rB2P/1p2Q3/1R4K1 b - - 2 40,0.0,-7.09,-8.029,0.0,target,midgame,train
5rk1/pp3ppp/5r2/2p1b3/2P1B3/2qP1QP1/4R3/5N1K w - - 4 34,-2.77,-5.26,-5.727,0.0,target,midgame,train
8/8/8/p4pp1/1p6/1Pk2P2/P7/3K4 b - - 5 76,-0.27,-7.65,-2.363,0.0,calm,adveg,val
3r2k1/pp3p1p/2b1p3/8/2P5/P2q1PP1/3P2BP/2R3KR b - - 5 26,-1.91,-9.21,-6.513,0.0,target,endgame,train
rn3rk1/1pq1ppBp/4b1p1/3n4/2B5/PN2PN2/2Q2PPP/R3K2R b KQ - 0 14,0.0,-0.21,3.581,0.0,target,opening,val
8/2k1P3/5P2/2b4p/1p1pK2P/r7/8/1R1B4 b - - 0 47,0.0,2.83,2.093,0.0,target,endgame,train
6nR/1k4r1/4p3/1P3pB1/2PPpP1P/1Pb1K3/8/8 b - - 0 38,0.0,0.0,-0.044,0.0,crowded_safe,endgame,val
b3kr2/2R4p/1pn3p1/1B2p1N1/p3p3/6PP/PPP2P2/3R2K1 b - - 3 24,0.0,8.45,9.35,0.0,calm,endgame,train
2k5/r3r2p/2N3p1/5p2/2P5/3P1B2/P4PPP/R5K1 w - - 1 33,1.947,6.72,9.495,0.0,target,endgame,train
8/8/7q/8/4p1p1/3kN1N1/5P2/5K2 w - - 18 82,-1.05,-2.8,-9.589,0.0,target,endgame,val
3rr2k/ppp2pp1/4n3/3q4/P7/4P1B1/1PBb1PPP/1Q3K1R b - - 5 21,-1.62,-6.22,-5.879,0.0,target,midgame,train
r1bk2r1/2p2p2/1p1p1n1p/p2P1N2/P1PP2p1/3B2P1/5PKP/R3R3 b - - 3 26,0.87,0.67,1.212,0.87,working,endgame,train
N3kbr1/1p1b1p1p/n1qp1Bp1/1p2p3/PP2P3/7P/2P1BPP1/R2Q1RK1 b - - 0 16,1.45,6.65,5.993,0.0,target,opening,train
2k5/p6p/2pn4/B3rPP1/8/1P1K4/P1P5/6R1 w - - 2 32,0.0,4.48,5.658,0.0,target,endgame,train
6k1/5pp1/7p/p2b1P2/1p4r1/2n5/2N5/R3NK2 w - - 0 47,-7.11,-6.25,-11.353,0.0,target,endgame,train
8/2p1r2k/1p2q1pp/2p3p1/4P3/2P3QP/8/4R1K1 b - - 1 37,-0.625,-4.06,-4.615,-1.02,working,endgame,val
6k1/1p1b1pp1/p4n1p/2r4P/5P2/2N1N1P1/5K2/1R6 w - - 4 34,-1.701,-4.12,-4.932,0.0,target,endgame,train
2r4r/6Rp/p7/2n5/2N1k1p1/5nB1/P5KP/8 b - - 0 31,0.0,-4.65,-8.348,0.0,target,endgame,val
2b3k1/7r/1p3q2/2ppNP1p/r2P1R2/PN6/6PP/2RQ2K1 w - - 0 29,1.409,5.51,6.347,1.26,working,midgame,val
r2k1b1r/1p4p1/p1qpbpQ1/7B/2p1P3/P1N5/1PP2PPP/1RBR2K1 b - - 2 21,1.75,5.66,6.135,0.0,target,opening,train
1r1q1rk1/5pbp/Q5p1/2ppp3/P3n1b1/2P1nNP1/P3PP1P/RNR2BK1 w - - 0 19,-1.69,-5.42,-2.546,0.0,target,opening,val
8/2pr2k1/4q1pp/1p2P1p1/2p1R3/2P2Q1P/8/6K1 b - - 3 41,-1.52,-4.4,-3.251,-1.38,working,endgame,train
6k1/5pp1/7p/p2brP2/1p1N2P1/2n5/2N5/R4K2 w - - 6 45,-2.15,-5.17,-8.556,0.0,target,endgame,train
r5k1/ppq3p1/2b1p2p/2B4R/2Pp4/1P1PP3/P4bB1/R2Q3K b - - 0 23,-2.88,1.95,0.932,-2.88,working,midgame,train
6r1/8/8/5k1P/p2P4/8/2p4K/2B5 w - - 1 49,-0.359,-6.33,-5.007,0.0,calm,adveg,train
8/1ppk3p/p2p2p1/8/6q1/2BP4/PP4P1/4Q2K b - - 2 29,0.0,2.17,1.716,0.0,target,endgame,train
