tag,ply,pieces,our_pawns,sf_pawns,gap_pawns,our_depth,fen
placement_bundle,57,23,3.689,-1.310,4.999,14,1n2k1n1/1Bb2pp1/2N1p3/B1pbP3/3p1P2/1P1P2P1/P6r/R3RK2 b - - 4 29
placement_bundle,70,19,-1.563,3.430,-4.993,12,6k1/p5pp/P2n1qn1/1Pp2p2/2Pp4/3P2P1/4QP2/5K1R w - - 2 36
placement_bundle,64,22,-0.852,4.140,-4.992,9,2r1k3/1b3p1Q/1pq1pprp/p7/P1BR1PP1/4P2P/1P6/5KR1 w - - 1 33
nmp_lightning,54,19,-2.737,2.240,-4.977,11,6k1/4bppp/pN1p1n2/r2Pp3/8/P3B1P1/5P1P/2R3K1 w - - 1 28
placement_bundle,68,20,-3.158,1.810,-4.968,10,6k1/1p3ppp/1P6/P1r1p3/8/4bPP1/1Nbr2BP/R4R1K w - - 1 35
placement_bundle,22,30,-0.625,4.340,-4.965,10,r2q1knr/2p2ppp/ppnbp3/3b4/3P4/2Q2NB1/PP1NPPPP/3RKB1R w K - 3 12
placement_bundle,60,22,-0.703,4.260,-4.963,10,4kq1r/1p3pb1/7p/pP1npNpQ/P7/2r3P1/5P2/RB2R1K1 w k - 6 31
placement_bundle,61,20,4.013,-0.920,4.933,9,q7/N2nppk1/5bp1/Q2P3r/3p2Rp/1P6/P2B3P/5RK1 b - - 2 31
placement_bundle,67,20,3.848,-1.070,4.918,12,q7/2P2pk1/P1bB1bpp/3n4/8/2p5/2P1BPPP/1R3KR1 b - - 0 34
hlmr_more1_lightning,40,26,-0.830,4.080,-4.910,9,r3r1k1/2pb1ppp/p1q1p3/1pb1P3/8/1QNRP1PB/PP2P2P/2R3K1 w - - 3 21
placement_bundle,34,24,-3.357,1.550,-4.907,11,r3k2r/pp3ppp/2p2n2/4p3/Qb6/P1q2PP1/3P1P1P/R1B1K2R w KQkq - 0 18
hlmr_more1_lightning,63,15,1.392,-3.510,4.902,11,r4b2/ppkQ4/8/3pN3/1q6/1P5P/P4PP1/6K1 b - - 1 32
placement_bundle,61,15,1.057,-3.840,4.897,10,4r1k1/6pp/p7/7P/q3bB2/6P1/1P3P1R/2Q3K1 b - - 0 31
placement_bundle,96,17,-2.603,2.290,-4.893,11,4r1k1/3n1ppp/8/B1p5/7Q/1q3P2/R1r3PP/3R1K2 w - - 1 49
placement_bundle,50,20,-3.362,1.530,-4.892,12,r7/pp3ppp/n2P1k2/1N6/Bp6/3br3/P5PP/2RR2K1 w - - 1 26
placement_bundle,57,22,3.178,-1.690,4.868,11,r4k2/p4p1Q/3p1q2/2pP3p/2P2Pn1/8/PPB1r1PP/4RR1K b - - 6 29
placement_bundle,107,18,2.767,-2.090,4.857,10,2r3k1/5qpp/3Qb3/3p4/1B1Pp3/NP2P3/P5p1/1K1R4 b - - 0 54
placement_bundle,82,15,-3.926,0.930,-4.856,14,8/1p3kb1/3p2p1/3p1pPp/5P2/1N1K3P/6B1/6n1 w - - 2 42
hlmr_more1_lightning,73,17,1.432,-3.420,4.852,14,3rnk2/R4p2/2N1p3/1P2P1p1/1PP5/7r/4B2P/2K2n2 b - - 1 37
placement_bundle,69,17,3.971,-0.880,4.851,10,6k1/p4p1p/2B2p2/2p2Pn1/3r1P2/qP4Q1/P7/4R2K b - - 0 35
hlmr_more1_lightning,59,18,2.639,-2.210,4.849,10,4r1k1/1Q3p1p/p1p1b3/6q1/4Pn2/1P6/P2R2BP/3R2K1 b - - 0 30
placement_bundle,73,22,4.008,-0.840,4.848,9,2k3rr/pp6/2q5/2B1pppN/2n4n/2P4P/PP2BQ2/3R1RK1 b - - 1 37
hlmr_more1_lightning,58,20,-2.291,2.550,-4.841,8,5k2/p2b1p1r/1q1p1Q2/2p3p1/2B1r3/2P3P1/P4KPP/5R1R w - - 4 30
placement_bundle,69,16,2.004,-2.830,4.834,12,bk2r3/7p/1p6/p1q5/2P2QB1/PP4P1/7P/5KR1 b - - 4 35
placement_bundle,68,19,-1.244,3.590,-4.834,9,rk1r4/1p1bR3/p2p2N1/3B1p2/2P3pP/1P5P/3b2K1/5R2 w - - 7 35
nmp_standard,65,20,1.084,-3.730,4.814,12,rr4k1/5p1p/5qp1/p2b4/3P2PP/1P3P2/P3B3/1KQR2R1 b - - 0 33
placement_bundle,74,19,-3.314,1.500,-4.814,8,2r1k3/1bb3B1/p5p1/P1Pp1p2/4p3/5P1R/5qP1/1Q3B1K w - - 0 38
placement_bundle,66,19,-1.524,3.280,-4.804,10,rk1r4/1p1b3R/p2p2N1/3B1p2/2P3pP/1P2b2P/6K1/5R2 w - - 5 34
placement_bundle,15,32,0.813,-3.980,4.793,9,r1b1kb1r/pp2qp1p/n1pp1np1/4p3/2PP4/2NBPN2/PPQ2PPP/R1B1K2R b KQkq - 3 8
