fen,phase_score,is_endgame,status,result_white,our_total,sf_static_cp,pieces,capture_gains,passed_pawn_support,latent_threat,central,imbalance_white,imbalance_black,pair_bonus,piece_value_boost
rn2k1r1/pp4bp/4q3/4pb2/2P2P2/5Q2/PP5P/2KR1BNR b q - 1 16,16,0,black_winning,0.0,3654,-461,2548,0,0,-124,400,0,0,300,530
r3k2r/p2b1p2/2npp1p1/1N5p/2R1P1n1/P2P1NP1/1bPR1P1P/6KB w kq - 0 21,48,0,near_equal,0.0,2061,-145,2692,-1046,0,112,-56,0,0,300,59
r1bqk2r/pp1pbppp/2n2n2/2p5/4PB2/3Q2P1/PPP2PBP/RN2K1NR b KQkq - 4 8,0,0,near_equal,1.0,-524,19,-124,0,0,0,-400,0,0,0,0
r3kb1r/2p1n1p1/p1nqbp2/3p4/Qp1PP2P/4B3/PP1NNPB1/2R1K2R b Kkq - 3 19,0,0,near_equal,1.0,-986,127,-586,0,0,0,-400,0,0,0,0
rn2qrk1/1p4pp/2pp4/p1b1pbPn/2P5/P1NP1N1P/1PQ2P2/R1B1KB1R w KQ - 2 12,0,0,black_winning,0.0,822,-197,497,0,0,-75,400,0,0,0,0
r3k2r/ppq1bpp1/2pp1nn1/2P4p/1P1Q1PbP/2B1P1P1/P2N4/R3KBNR w KQkq - 1 15,0,0,near_equal,0.5,186,-61,586,0,0,0,-400,0,0,0,0
2kr3r/pp2npb1/2npb1pp/1Np1p3/2P4P/1P1PPNP1/PB3PB1/R3K2R b KQ - 0 14,42,0,near_equal,0.5,-200,-11,-223,0,0,-75,98,0,0,0,0
1k5r/pp3p2/8/3N3p/3P3P/5r2/2K5/4R3 b - - 1 38,90,1,black_winning,0.0,6754,-557,4430,0,187,0,0,0,0,0,1442
r3kb1r/ppp1pp1p/2n2Pp1/3q1b2/P2P4/2PB1N1P/2P2PP1/R1BQK2R b KQkq - 2 10,10,0,near_equal,1.0,59,134,-541,1000,0,0,-400,0,0,0,0
8/5k2/2KR2p1/2P1P2p/1P5P/3r2P1/8/8 b - - 2 48,106,1,white_winning,1.0,-8164,493,-6334,1090,150,0,0,0,0,0,-913
r3k2r/3bn2p/2pQppp1/8/p2N4/3BP2P/1P3PP1/R5K1 b k - 3 29,53,0,white_winning,1.0,-5517,499,-4176,-1056,0,-210,-75,0,0,0,0
4r1k1/2q2pp1/1pp2n1p/pP2r3/2B2Q2/4P2P/P4PP1/2RR2K1 w - - 0 24,32,0,near_equal,1.0,-308,90,-216,0,0,0,-92,0,0,0,0
1n4kr/1p1b1ppp/4p3/1pB1P3/r1Pp2n1/P2P2P1/4P1BP/RN2K2R w KQ - 1 17,53,0,near_equal,1.0,-420,118,-241,56,0,-75,-60,0,0,-100,0
8/1B3p2/6p1/p1P1n2p/1n5P/1PK3P1/5k2/8 w - - 15 49,112,1,black_winning,0.0,5014,-302,2737,0,-80,0,0,0,0,200,1355
r1b1kbnr/1p1npp1p/1q4p1/pN1P4/Q1B5/8/PP3PPP/R1B1K1NR b KQkq - 2 9,0,0,near_equal,1.0,-409,140,-9,0,0,0,-400,0,0,0,0
r4rk1/6p1/p2qpn1p/1p1nN3/3P3P/2Np3R/PP1Q4/1K1R4 b - - 1 25,21,0,black_winning,0.5,903,-185,2905,-1852,-500,0,350,0,0,0,0
2r4k/5rpp/pQb5/7P/PP4nR/4BqP1/5P2/R5K1 w - - 8 32,26,0,black_winning,0.0,1362,-468,1543,-830,0,299,350,0,0,0,0
4k2r/pp2pp1p/3p4/n2r2p1/Pb6/1p1BP1P1/q2NKPP1/4Q2R w k - 0 26,32,0,black_winning,0.0,12166,-480,10287,30,-75,0,167,0,0,0,1757
r1bqk2r/1p4b1/p3p3/5p1p/P4np1/2PpN1P1/1P3PBP/R3RQK1 w kq - 0 28,16,0,black_winning,0.0,1072,-267,3922,-3250,-375,75,400,0,0,300,0
2r1kb1r/pp1bpppp/2np4/3n2N1/Pq2P3/3BB2P/1P3PP1/R2QR1K1 w k - 0 14,5,0,near_equal,1.0,2687,39,4272,-2235,0,75,-34,0,0,200,409
1r5r/p1k1n3/2p3p1/2R1Np1p/8/1P2PN2/P4PPP/4K2R b K - 0 21,69,1,white_winning,1.0,-7249,333,-5441,0,0,0,0,0,0,-200,-913
rnbqkb1r/pp3pPp/8/4p3/2P5/2p5/PP1P1P1P/R1BQKBNR b KQkq - 0 8,10,0,near_equal,0.0,424,110,-1242,1116,150,0,400,0,0,0,0
2k1r3/pp5p/2pb2p1/3b2R1/7r/PP1BN2P/2P1KP2/R7 b - - 0 25,64,0,black_winning,0.0,2829,-260,714,1078,0,-75,300,0,303,300,209
8/8/3Q1nk1/1p6/p1q4p/P4P2/1P3KPP/4R3 b - - 1 35,69,1,white_winning,1.0,-7715,451,-5768,0,0,0,0,0,0,0,-852
1r3nkr/B1R2pp1/8/pP2p3/2P5/6P1/4P3/R5K1 b - - 1 32,74,1,white_winning,1.0,-2250,263,-1367,0,-228,0,0,0,0,0,-67
r3k2r/pp1n1pb1/3pp1p1/q2B1bNp/2P5/P1N1Q1P1/1P2PP1P/2R1K2R w Kkq - 0 15,10,0,near_equal,1.0,-907,-46,288,-1015,0,-147,-133,0,0,100,0
8/8/1r4p1/7p/1PR1P2P/4kPK1/8/8 b - - 4 54,106,1,white_winning,0.5,-5135,223,-3228,0,450,0,0,0,0,0,-952
r3brk1/2q1n2p/3p2p1/1p1P1p2/p1pQ2P1/P3PNRP/BP3P2/R3K3 w Q - 2 24,21,0,near_equal,0.5,-463,-35,156,0,0,-269,-350,0,0,0,0
r1bqkb1r/pp2pp1p/n1p2np1/6B1/3Pp3/2N3PP/PPP1NP2/R2QKB1R b KQkq - 2 7,0,0,near_equal,0.0,1135,-103,1000,0,0,0,135,0,0,0,0
3R4/4nk2/8/2r4P/8/2PK4/2P5/4B3 w - - 9 73,96,1,white_winning,0.5,-5058,301,-4871,1862,-240,0,0,0,0,0,-619
8/8/3pk3/2p1p3/R1b1PbK1/1r3B2/1P3P2/8 b - - 1 47,90,1,black_winning,0.0,10280,-458,5814,1045,0,0,0,0,0,300,1671
r3kb1r/5pp1/p3pn1p/1Pp5/Nn6/1P2Pb2/PB2BPPP/3RK2R w K - 0 16,48,0,near_equal,1.0,883,148,2928,-2427,0,134,48,0,0,200,0
r3k2r/3bn2p/2pQppp1/8/p7/3BPN1P/1P3PP1/R5K1 w k - 2 29,53,0,white_winning,1.0,-4486,604,-4252,0,0,-168,-66,0,0,0,0
r3k2r/pp1q1pb1/2nBp3/2Pp1p2/8/1QP3p1/1P2PPBP/R4RK1 w kq - 0 18,21,0,near_equal,1.0,47,-10,872,-1000,0,125,350,0,0,-300,0
4r1k1/3Q1p2/1p4p1/pNqpr3/P6p/1P2P2P/5PP1/3R2K1 w - - 8 41,48,0,black_winning,0.0,3013,-150,1777,0,0,63,151,0,0,0,1022
2r1k2r/pp1b1pp1/1q2pn1p/1N1p4/Pb1P4/3BPN1P/1PQ2PP1/R4K1R w k - 2 15,10,0,near_equal,0.5,-414,-88,-189,0,0,75,-400,0,0,100,0
5rk1/2K4p/3N2p1/1P2Rp2/2P4r/8/8/8 w - - 2 40,90,1,near_equal,1.0,2852,65,2900,0,-843,0,0,0,0,0,1100
8/5k2/8/1pp1R3/3r1nNr/P1K2P2/8/6R1 w - - 0 42,74,1,near_equal,0.5,-1051,7,725,-1491,-285,0,0,0,0,0,0
4kb1r/pp3ppp/8/2rb4/7P/P1B5/1P3PP1/2KR1B1R w k - 0 23,64,0,near_equal,1.0,211,108,87,0,0,102,22,0,0,0,0
rnb1k1nr/1p2ppbp/p2p2p1/8/3NP3/2N1B3/PqP1BPPP/R2Q1RK1 w kq - 0 9,0,0,near_equal,1.0,17,113,455,0,0,-38,-400,0,0,0,0
3rkbr1/1P3pp1/p2np2p/2N5/8/PP1BPP2/1B1K3P/2R4R w - - 1 25,58,0,white_winning,1.0,-8107,721,-5471,-1066,150,-247,-188,0,0,-300,-985
3k4/8/4P1p1/2q4p/p1P2Q1P/6P1/2K5/8 w - - 1 57,85,1,near_equal,1.0,-627,118,-1942,0,1335,0,0,0,0,0,0
2b1k1nB/rp1n3p/1q2N1p1/p7/Q1B5/8/PP2NbPP/R4K1R b - - 0 17,10,0,white_winning,1.0,-7983,350,-6171,0,0,-400,-400,0,0,0,-1012
1r1qkb2/pp6/2p2ppp/P2Pn3/3N2PP/3P4/5PQ1/R3K2R w KQ - 0 21,37,0,white_winning,1.0,-3210,188,-2574,39,0,0,-300,0,0,0,-375
4k1r1/pb2np1p/4pp2/qp1p4/3P3P/6P1/PP1NPPB1/2Q1K2R b K - 2 18,42,0,near_equal,0.5,795,23,-374,1017,0,-109,261,0,0,0,0
8/6k1/8/2q1NK2/8/8/8/8 b - - 11 59,101,1,black_winning,0.0,14023,-341,9550,0,0,0,0,0,0,0,3068
Nn5r/pb2k1pp/3R1p2/1p4B1/4P3/8/PP3PPP/6KR w - - 1 22,74,1,white_winning,1.0,-9725,347,-7346,0,0,0,0,0,0,0,-1729
r4rk1/5p1p/3p2p1/1N2p3/1PP5/5KPP/5P2/7R w - - 0 27,90,1,near_equal,1.0,932,-136,1760,-1090,262,0,0,0,0,0,0
4Q3/1R2pn1k/3p2p1/B1pP3p/4B3/PK1PP3/8/5q2 b - - 8 52,58,0,white_winning,1.0,-11612,232,-7214,0,105,-49,-38,-2319,180,-300,-1977
r3k2r/1pqn1ppp/2p1pn2/p6b/1bNP4/1Q2PN1P/PP1BBPP1/R4RK1 b kq - 3 13,0,0,near_equal,1.0,-330,37,-5,0,0,75,-400,0,0,0,0
r3k2r/ppq2p1p/1n1bpp2/8/3P4/2NB1P2/PPQ2P1P/R3K2R w KQkq - 0 15,21,0,near_equal,0.0,-7,-20,289,0,0,0,-296,0,0,0,0
2r1k2r/1bq1bppp/pp2p3/4p3/1PP1P2P/P1NBQ3/5PP1/R3K2R b KQk - 3 17,21,0,near_equal,1.0,-311,-36,-269,0,0,0,-342,0,0,300,0
r1b1kb1r/ppq2pp1/3ppn1p/2p5/P1P1PP2/2N1B3/1PP1N1PP/R2Q1RK1 b kq - 1 10,10,0,near_equal,1.0,-628,48,-403,0,0,75,-400,0,0,100,0
7r/pp2k1r1/2b1p3/2p1p3/2P1P3/1P3B1N/1K3P2/7R b - - 0 36,80,1,black_winning,0.0,4967,-542,3124,0,0,0,0,0,0,0,903
8/Q7/3q4/3p4/3P1N2/bk3BPp/5P1K/8 w - - 7 62,69,1,white_winning,1.0,-9759,403,-5697,-1135,-1000,0,0,0,0,0,-1232
2r1k1nr/ppq1ppb1/n2p2p1/1NpP3p/2P1P1bP/P2B4/1PQ2PPN/R1B1K2R b KQk - 3 13,0,0,white_winning,1.0,599,184,999,0,0,0,-400,0,0,0,0
7k/7p/1p5P/p2br3/P2R1p1N/5B2/1r6/5K2 b - - 3 60,80,1,black_winning,0.0,7195,-428,5967,0,-585,0,0,0,0,0,1273
8/1p6/p7/P4p1p/1P1k3P/4p1P1/8/4K3 b - - 1 44,128,1,black_winning,0.0,2262,-410,2424,0,-750,0,0,0,0,0,588
r2q1k1r/1pp1bpp1/2n1bn2/p2p4/3P3p/PP1BPN1P/1BQN1PP1/R3K2R w KQ - 0 14,0,0,near_equal,0.0,-685,82,-210,0,0,-75,-400,0,0,0,0
r1bqk2r/pp1pbppp/2n2n2/2p1p3/2P1P1P1/2N2N1P/PP1P1P2/R1BQKB1R b KQkq - 0 7,0,0,near_equal,0.0,-354,-33,-185,0,0,0,-169,0,0,0,0
3r4/5k2/1p1b3p/pP6/N2PpppP/1P4P1/R4P2/7K b - - 1 38,96,1,black_winning,0.5,1981,-178,1653,-90,375,0,0,0,0,0,43
r1b1k1nr/1p1nbppp/pqp5/4p3/P2P4/1pN1PNP1/1B3PBP/R2Q1RK1 w kq - 0 12,0,0,white_winning,1.0,-573,155,1377,-1000,-625,75,-400,0,0,0,0
r1b1k1nr/1p1n3p/1q2p1p1/pNb5/Q1B2B2/8/PP2NPPP/R3K2R b KQkq - 3 12,0,0,white_winning,1.0,-265,188,-751,1015,0,-129,-400,0,0,0,0
8/p3k3/R1np3r/1Rr5/1p3N1P/1P4P1/P4PK1/8 w - - 5 41,74,1,white_winning,1.0,-4404,476,-3253,0,360,0,0,0,0,0,-661
2r5/4kp2/4p3/8/B6P/3R2P1/3p4/3K4 w - - 11 55,101,1,white_winning,1.0,-7705,264,-2064,-2335,-525,0,0,0,0,0,-2131
2k4r/p6p/2P3p1/2r1pp2/3N4/4P1P1/b2K1PBP/7R w - - 0 29,80,1,black_winning,0.0,3475,-288,1501,0,750,0,0,0,0,0,574
